xent_gt_1,xent_gt_10,xent_gt_28,xent_gt_300,xent_sample_1,xent_sample_10,xent_sample_28,xent_sample_300
326.76702880859375,333.23997802734374,345.8874481201172,526.76962890625,326.76702880859375,332.44115295410154,345.08802185058596,530.3724487304687
318.2082824707031,321.2748687744141,334.3140502929688,530.7943786621094,318.2082824707031,321.2748687744141,333.32435302734376,504.2714813232422
323.9454040527344,329.4341156005859,341.6502624511719,512.3046875,323.9454040527344,327.1355438232422,339.2186553955078,508.57110900878905
299.8559875488281,303.47552795410155,317.4858856201172,507.33460998535156,299.8559875488281,302.8979217529297,314.71478271484375,504.1443572998047
329.3351135253906,335.0788513183594,347.6347595214844,523.1686279296875,329.3351135253906,335.0788513183594,347.6347595214844,532.2869689941406
323.7669677734375,328.62420043945315,340.3221923828125,535.5899963378906,323.7669677734375,326.7731597900391,338.22926940917966,500.99074401855466
308.516357421875,314.0893615722656,326.2273895263672,517.664990234375,308.516357421875,314.0893615722656,326.2273895263672,508.9554382324219
332.3367919921875,335.22540283203125,347.60178833007814,536.7534790039062,332.3367919921875,335.22540283203125,347.60178833007814,521.9002624511719
325.1897888183594,330.12159729003906,342.6101776123047,525.4385620117188,325.1897888183594,329.98496398925784,342.47288208007814,523.4984191894531
309.0863037109375,315.29604187011716,325.7260375976563,493.38063049316406,309.0863037109375,315.5956573486328,326.29717712402345,497.4664611816406
312.48931884765625,319.0652679443359,329.0600524902344,507.11098022460936,312.46533203125,318.9391387939453,329.24843139648436,503.9263671875
324.369873046875,328.1312744140625,342.51556091308595,555.3993469238281,324.369873046875,328.13612670898436,339.2957763671875,500.7441741943359
318.91650390625,326.0067993164063,338.4549133300781,524.15380859375,318.91650390625,326.0067993164063,337.4569396972656,523.4892578125
314.8709411621094,321.2190704345703,332.7885284423828,522.6472595214843,314.8709411621094,321.2190704345703,332.60450744628906,514.8221771240235
316.2844543457031,322.4197479248047,333.8501403808594,506.555419921875,316.2844543457031,322.4197479248047,333.7583465576172,509.40392150878904
